video_id,action,start,end,high_level_step_id,high_level_step_label,assignment_method,recipe_id
P05-20240424-085204,turn-on(tap),134.56,136.5,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,nearest,P05_R02
P05-20240424-085204,wash(cloth),136.6,139.81,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,nearest,P05_R02
P05-20240424-085204,turn-off(tap),139.9,141.24,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,nearest,P05_R02
P05-20240424-085204,apply(cloth),142.94,144.79,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,nearest,P05_R02
P05-20240424-085204,take(glass),145.06,145.9,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,nearest,P05_R02
P05-20240424-085204,wash(top),146.0,147.38,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,nearest,P05_R02
P05-20240424-085204,slide(top),147.48,149.32,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,nearest,P05_R02
P05-20240424-085204,slide(top),149.42000000000002,150.98,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,nearest,P05_R02
P05-20240424-085204,squeeze(cloth),151.07999999999998,152.69,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,nearest,P05_R02
P05-20240424-085204,put(glass),152.79,153.96,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,nearest,P05_R02
P05-20240424-085204,hold(hand),153.92000000000002,154.8,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,nearest,P05_R02
P05-20240424-085204,take(cloth),154.9,156.42000000000002,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",nearest,P05_R02
P05-20240424-085204,wash(top),162.42000000000002,165.0,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",nearest,P05_R02
P05-20240424-085204,open(bin),165.64,167.51,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",nearest,P05_R02
P05-20240424-085204,turn-on(tap),169.6,170.02,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",nearest,P05_R02
P05-20240424-085204,wash(hand),170.49,172.34,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",nearest,P05_R02
P05-20240424-085204,put(cloth),172.88,173.82999999999998,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",nearest,P05_R02
P05-20240424-085204,wash(hand),174.32999999999998,175.5,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",nearest,P05_R02
P05-20240424-085204,turn-off(tap),175.87,176.14,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",nearest,P05_R02
P05-20240424-085204,take(glass),180.49,181.16,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",nearest,P05_R02
P05-20240424-085204,carry(glass),181.57,184.28,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",nearest,P05_R02
P05-20240424-085204,pour(water),184.48,185.96,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",nearest,P05_R02
P05-20240424-085204,put(glass),186.6,187.23,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",nearest,P05_R02
P05-20240424-085204,move(glass),190.09,192.1,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",nearest,P05_R02
P05-20240424-085204,take(glass),190.13,190.89,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",nearest,P05_R02
P05-20240424-085204,drink(water),192.05,198.0,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",nearest,P05_R02
P05-20240424-085204,put(glass),198.31,202.13,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",nearest,P05_R02
P05-20240424-085204,take(plate),205.24,206.94,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",overlap,P05_R02
P05-20240424-085204,put(plate),208.32,209.59,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",overlap,P05_R02
P05-20240424-085204,turn-on(scale),210.01,210.76,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",overlap,P05_R02
P05-20240424-085204,take(banana),212.5,213.34,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",overlap,P05_R02
P05-20240424-085204,put(banana),214.74,215.68,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",overlap,P05_R02
P05-20240424-085204,turn-off(scale),217.6,218.79,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",overlap,P05_R02
P05-20240424-085204,take(banana),218.89,219.74,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",overlap,P05_R02
P05-20240424-085204,open(drawer),220.3,221.55,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",overlap,P05_R02
P05-20240424-085204,take(knife),221.65,222.61,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",overlap,P05_R02
P05-20240424-085204,press(drawer),222.71,223.01,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",overlap,P05_R02
P05-20240424-085204,take(banana),223.95,224.74,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",overlap,P05_R02
P05-20240424-085204,pat(banana),225.27,225.52,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",overlap,P05_R02
P05-20240424-085204,peel(skin),225.73,231.46,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",overlap,P05_R02
P05-20240424-085204,take(lid),231.9,232.71,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",overlap,P05_R02
P05-20240424-085204,put(skin),232.65,233.43,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",overlap,P05_R02
P05-20240424-085204,close(lid),233.46,233.86,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",overlap,P05_R02
P05-20240424-085204,put(banana),237.09,237.39,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",overlap,P05_R02
P05-20240424-085204,cut(banana),237.46,244.44,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",overlap,P05_R02
P05-20240424-085204,put(knife),246.57,247.3,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",nearest,P05_R02
P05-20240424-085204,turn-on(tap),248.94,249.89,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",nearest,P05_R02
P05-20240424-085204,wash(hand),249.71,250.92,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",nearest,P05_R02
P05-20240424-085204,turn-off(tap),250.94,251.69,P05_R02_S02,"Leave for a few minutes, stir, then microwave for a further minute.",nearest,P05_R02
P05-20240424-085204,dry(hand),252.27,253.19,P05_R02_S02,"Leave for a few minutes, stir, then microwave for a further minute.",nearest,P05_R02
P05-20240424-085204,open(drawer),253.85,255.26,P05_R02_S02,"Leave for a few minutes, stir, then microwave for a further minute.",nearest,P05_R02
P05-20240424-085204,take(spoon),258.94,259.31,P05_R02_S02,"Leave for a few minutes, stir, then microwave for a further minute.",overlap,P05_R02
P05-20240424-085204,close(drawer),259.17,260.24,P05_R02_S02,"Leave for a few minutes, stir, then microwave for a further minute.",overlap,P05_R02
P05-20240424-085204,open(microwave),260.3,260.98,P05_R02_S02,"Leave for a few minutes, stir, then microwave for a further minute.",overlap,P05_R02
P05-20240424-085204,take(bowl),262.02,263.71,P05_R02_S02,"Leave for a few minutes, stir, then microwave for a further minute.",overlap,P05_R02
P05-20240424-085204,put(bowl),264.07,264.94,P05_R02_S02,"Leave for a few minutes, stir, then microwave for a further minute.",overlap,P05_R02
P05-20240424-085204,mix(oatmeal),265.19,269.81,P05_R02_S02,"Leave for a few minutes, stir, then microwave for a further minute.",overlap,P05_R02
P05-20240424-085204,shake(oatmeal),269.8,273.83,P05_R02_S02,"Leave for a few minutes, stir, then microwave for a further minute.",overlap,P05_R02
P05-20240424-085204,put(spoon),275.43,276.64,P05_R02_S02,"Leave for a few minutes, stir, then microwave for a further minute.",nearest,P05_R02
P05-20240424-090812,close(cupboard),2.77,3.35,P05_R02_S02,"Leave for a few minutes, stir, then microwave for a further minute.",nearest,P05_R02
P05-20240424-090812,take(spoon),7.18,8.06,P05_R02_S02,"Leave for a few minutes, stir, then microwave for a further minute.",nearest,P05_R02
P05-20240424-090812,mix(oatmeal),9.46,15.2,P05_R02_S02,"Leave for a few minutes, stir, then microwave for a further minute.",overlap,P05_R02
P05-20240424-090812,pat(spoon),15.04,16.98,P05_R02_S02,"Leave for a few minutes, stir, then microwave for a further minute.",overlap,P05_R02
P05-20240424-090812,put(oatmeal),17.05,18.73,P05_R02_S02,"Leave for a few minutes, stir, then microwave for a further minute.",overlap,P05_R02
P05-20240424-090812,close(cupboard),19.36,20.67,P05_R02_S02,"Leave for a few minutes, stir, then microwave for a further minute.",overlap,P05_R02
P05-20240424-090812,press(button),20.77,21.94,P05_R02_S02,"Leave for a few minutes, stir, then microwave for a further minute.",overlap,P05_R02
P05-20240424-090812,put(spoon),22.89,23.91,P05_R02_S02,"Leave for a few minutes, stir, then microwave for a further minute.",overlap,P05_R02
P05-20240424-090812,move(oatmeal),29.92,31.18,P05_R02_S02,"Leave for a few minutes, stir, then microwave for a further minute.",overlap,P05_R02
P05-20240424-090812,take(package),32.56,33.47,P05_R02_S02,"Leave for a few minutes, stir, then microwave for a further minute.",overlap,P05_R02
P05-20240424-090812,put(nut),34.2,35.54,P05_R02_S02,"Leave for a few minutes, stir, then microwave for a further minute.",overlap,P05_R02
P05-20240424-090812,take(package),35.64,38.28,P05_R02_S02,"Leave for a few minutes, stir, then microwave for a further minute.",overlap,P05_R02
P05-20240424-090812,put(package),38.38,40.68,P05_R02_S02,"Leave for a few minutes, stir, then microwave for a further minute.",overlap,P05_R02
P05-20240424-090812,look(microwave),76.53,79.07,P05_R02_S02,"Leave for a few minutes, stir, then microwave for a further minute.",overlap,P05_R02
P05-20240424-090812,open(cupboard),79.17,82.55,P05_R02_S02,"Leave for a few minutes, stir, then microwave for a further minute.",overlap,P05_R02
P05-20240424-090812,take(bowl),82.47,85.56,P05_R02_S02,"Leave for a few minutes, stir, then microwave for a further minute.",overlap,P05_R02
P05-20240424-090812,put(oatmeal),85.66,87.41,P05_R02_S02,"Leave for a few minutes, stir, then microwave for a further minute.",overlap,P05_R02
P05-20240424-090812,take(spoon),87.51,92.39,P05_R02_S02,"Leave for a few minutes, stir, then microwave for a further minute.",overlap,P05_R02
P05-20240424-090812,shake(oatmeal),92.22,95.71,P05_R02_S02,"Leave for a few minutes, stir, then microwave for a further minute.",overlap,P05_R02
P05-20240424-090812,eat(spoon),95.81,96.72,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",overlap,P05_R02
P05-20240424-090812,put(spoon),96.95,97.73,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",overlap,P05_R02
P05-20240424-090812,turn-on(scale),98.45,99.8,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",overlap,P05_R02
P05-20240424-090812,take(bag),103.1,103.59,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",overlap,P05_R02
P05-20240424-090812,pour(raisin),104.34,109.35,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",overlap,P05_R02
P05-20240424-090812,put(bag),111.72,112.5,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",overlap,P05_R02
P05-20240424-090812,take(bag),113.34,113.99,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",overlap,P05_R02
P05-20240424-090812,move(bag),114.49,115.25,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",overlap,P05_R02
P05-20240424-090812,set(scale),117.13,117.91,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",overlap,P05_R02
P05-20240424-090812,put(nut),117.96,128.12,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",overlap,P05_R02
P05-20240424-090812,put(bag),129.89,130.41,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",overlap,P05_R02
P05-20240424-090812,set(scale),132.76,134.09,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",overlap,P05_R02
P05-20240424-090812,take(knife),135.15,136.52,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",overlap,P05_R02
P05-20240424-090812,add(banana),137.04,139.69,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",overlap,P05_R02
P05-20240424-090812,put(plate),140.0,141.61,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",nearest,P05_R02
P05-20240424-090812,turn-off(scale),142.45,143.9,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",nearest,P05_R02
P05-20240424-090812,move(bowl),144.26,145.84,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",nearest,P05_R02
P05-20240424-090812,move(spoon),145.94,146.63,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",nearest,P05_R02
P05-20240424-090812,put(knife),148.01,148.47,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",nearest,P05_R02
P05-20240424-090812,move(spoon),148.61,149.73,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",nearest,P05_R02
P05-20240424-090812,open(drawer),153.37,154.28,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",nearest,P05_R02
P05-20240424-090812,add(scale),154.17000000000002,155.69,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",nearest,P05_R02
P05-20240424-090812,close(drawer),155.56,156.18,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",nearest,P05_R02
P05-20240424-090812,take(oatmeal),158.47,159.69,P05_R02_S03,"Add chopped banana, and the raisins and pecan nuts.",nearest,P05_R02
P05-20240425-082420,take(bowl),9.04,11.61,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,put(bowl),12.42,13.04,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,open(drawer),15.85,16.93,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,take(scale),17.48,18.14,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,close(drawer),18.24,18.64,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,put(scale),20.56,21.62,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,take(bowl),21.63,22.12,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,put(bowl),22.06,22.67,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,turn-on(scale),23.08,25.56,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,take(package),29.22,31.69,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,pull(oatmeal),31.78,37.12,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,shake(bag),35.05,43.75,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,put(package),43.69,45.98,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,put(oatmeal),45.99,48.25,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,open(fridge),47.76,49.62,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,take(milk),49.61,52.06,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,unscrew(top),51.72,53.47,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,pour(milk),53.45,60.27,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,screw(lid),60.37,61.55,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,open(cupboard),61.43,62.79,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,put(bottle),62.74,63.97,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,open(cupboard),64.66,65.47,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,take(glass),65.5,67.32,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,turn-on(tap),68.11,69.44,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,fill(glass),69.41,70.7,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,turn-off(tap),71.2,74.15,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,pour(water),75.59,77.7,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,put(glass),79.47,83.78999999999999,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,take(oatmeal),84.46000000000001,85.26,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,open(microwave),85.78,87.07,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,move(oatmeal),85.81,86.94,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,put(oatmeal),87.17,89.78999999999999,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,close(cupboard),89.83,90.64,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,press(button),90.65,93.3,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,overlap,P05_R02
P05-20240425-082420,turn-off(scale),93.88,95.38,P05_R02_S01,Put the oats in a bowl with the milk and 300ml/10 1/2 fl oz water. Microwave until hot.,nearest,P05_R02
