participant,action,verb,noun
P01,divide(towel),divide,towel
P01,divide(tray),divide,tray
P01,drink(juice),drink,juice
P01,drink(orange),drink,orange
P01,drink(tea),drink,tea
P01,drink(water),drink,water
P01,drop(alarm),drop,alarm
P01,drop(bag),drop,bag
P01,drop(biscuit),drop,biscuit
P01,drop(bowl),drop,bowl
P01,drop(butter),drop,butter
P01,drop(button),drop,button
P01,drop(can),drop,can
P01,drop(chicken),drop,chicken
P01,drop(cover),drop,cover
P01,drop(cupboard),drop,cupboard
P01,drop(food),drop,food
P01,drop(glove),drop,glove
P01,drop(lid),drop,lid
P01,drop(maker:coffee),drop,maker:coffee
P01,drop(meat),drop,meat
P01,drop(mixture),drop,mixture
P01,drop(orange),drop,orange
P01,drop(package),drop,package
P01,drop(plate),drop,plate
P01,drop(plug),drop,plug
P01,drop(pot),drop,pot
P01,drop(roll),drop,roll
P01,drop(rubbish),drop,rubbish
P01,drop(slicer),drop,slicer
P01,drop(spoon),drop,spoon
P01,drop(stock),drop,stock
P01,drop(tap),drop,tap
P01,drop(top),drop,top
P01,drop(tray),drop,tray
P01,dry(hand),dry,hand
P01,dry(pan),dry,pan
P01,dry(plate),dry,plate
P01,eat(chocolate),eat,chocolate
P01,eat(mixture),eat,mixture
P01,eat(rest),eat,rest
P01,eat(soup),eat,soup
P01,empty(bowl),empty,bowl
P01,empty(box),empty,box
P01,empty(garlic),empty,garlic
P01,empty(glass),empty,glass
P01,empty(package),empty,package
P01,empty(pan),empty,pan
P01,empty(water),empty,water
P01,feel(bowl),feel,bowl
P01,feel(cupboard),feel,cupboard
P01,feel(glove),feel,glove
P01,feel(hand),feel,hand
P01,feel(knife),feel,knife
P01,feel(knob),feel,knob
P01,feel(lid),feel,lid
P01,feel(roll),feel,roll
P01,feel(spoon),feel,spoon
P01,feel(stand),feel,stand
P01,feel(top),feel,top
P01,feel(towel),feel,towel
P01,fill(bowl),fill,bowl
P01,fill(glass),fill,glass
P01,fill(heat),fill,heat
P01,fill(jug),fill,jug
P01,fill(kettle),fill,kettle
P01,fill(lid),fill,lid
P01,fill(plate),fill,plate
P01,fill(spoon),fill,spoon
P01,fill(water),fill,water
P01,filter(liquid),filter,liquid
P01,finish(jug),finish,jug
P01,flatten(bag),flatten,bag
P01,flatten(dough),flatten,dough
P01,flatten(liquid:washing),flatten,liquid:washing
P01,flip(bag),flip,bag
P01,flip(bottle),flip,bottle
P01,flip(bowl),flip,bowl
P01,flip(cd),flip,cd
P01,flip(container),flip,container
P01,flip(maker:coffee),flip,maker:coffee
P01,flip(mixture),flip,mixture
P01,flip(orange),flip,orange
P01,flip(pan),flip,pan
P01,flip(towel),flip,towel
P01,fold(bag),fold,bag
P01,fold(cloth),fold,cloth
P01,fold(foil),fold,foil
P01,fold(paper),fold,paper
P01,fold(towel),fold,towel
P01,form(dough),form,dough
P01,gather(alarm),gather,alarm
P01,gather(biscuit),gather,biscuit
P01,gather(breadcrumb),gather,breadcrumb
P01,gather(carrot),gather,carrot
P01,gather(chocolate),gather,chocolate
P01,gather(coriander),gather,coriander
P01,gather(dough),gather,dough
P01,gather(food),gather,food
P01,gather(heat),gather,heat
P01,gather(meat),gather,meat
P01,gather(mixture),gather,mixture
P01,gather(onion),gather,onion
P01,gather(paper),gather,paper
P01,gather(rest),gather,rest
P01,gather(rice),gather,rice
P01,gather(rubbish),gather,rubbish
P01,gather(scissors),gather,scissors
P01,gather(skin),gather,skin
P01,gather(slicer),gather,slicer
P01,gather(towel),gather,towel
P01,gather(wire),gather,wire
P01,grate(cheese),grate,cheese
P01,hang(brush),hang,brush
P01,hang(cheese),hang,cheese
P01,hang(glove),hang,glove
P01,hang(tap),hang,tap
P01,hang(towel),hang,towel
P01,hold(airer),hold,airer
P01,hold(bag),hold,bag
P01,hold(bin),hold,bin
P01,hold(blender),hold,blender
P01,hold(bowl),hold,bowl
P01,hold(colander),hold,colander
P01,hold(container),hold,container
P01,hold(cup),hold,cup
P01,hold(cupboard),hold,cupboard
P01,hold(food),hold,food
P01,hold(glass),hold,glass
P01,hold(glove),hold,glove
P01,hold(hand),hold,hand
P01,hold(handle),hold,handle
P01,hold(heat),hold,heat
P01,hold(jar),hold,jar
P01,hold(kettle),hold,kettle
P01,hold(ladle),hold,ladle
P01,hold(lid),hold,lid
P01,hold(package),hold,package
P01,hold(plate),hold,plate
P01,hold(pot),hold,pot
P01,hold(slicer),hold,slicer
P01,hold(spatula),hold,spatula
P01,hold(sponge),hold,sponge
P01,hold(spoon),hold,spoon
P01,hold(stock),hold,stock
P01,hold(water),hold,water
P01,hold(wire),hold,wire
P01,increase(food),increase,food
P01,increase(processor:food),increase,processor:food
P01,insert(bag),insert,bag
P01,insert(biscuit),insert,biscuit
P01,insert(blender),insert,blender
P01,insert(bowl),insert,bowl
P01,insert(box),insert,box
P01,insert(drawer),insert,drawer
P01,insert(food),insert,food
P01,insert(garlic),insert,garlic
P01,insert(glove),insert,glove
P01,insert(hand),insert,hand
P01,insert(knife),insert,knife
P01,insert(liquid),insert,liquid
P01,insert(package),insert,package
P01,insert(pan),insert,pan
P01,insert(paper),insert,paper
P01,insert(plate),insert,plate
P01,insert(roll),insert,roll
P01,insert(scissors),insert,scissors
P01,insert(sponge),insert,sponge
P01,insert(spoon),insert,spoon
P01,insert(top),insert,top
P01,insert(towel),insert,towel
P01,knead(dough),knead,dough
P01,let-go(hand),let-go,hand
P01,lift(bag),lift,bag
P01,lift(bin),lift,bin
P01,lift(blender),lift,blender
P01,lift(bottle),lift,bottle
P01,lift(bowl),lift,bowl
P01,lift(box),lift,box
P01,lift(can),lift,can
P01,lift(colander),lift,colander
P01,lift(container),lift,container
P01,lift(coriander),lift,coriander
P01,lift(cream),lift,cream
P01,lift(cupboard),lift,cupboard
P01,lift(food),lift,food
P01,lift(glass),lift,glass
P01,lift(handle),lift,handle
P01,lift(jar),lift,jar
P01,lift(juicer),lift,juicer
P01,lift(kettle),lift,kettle
P01,lift(knife),lift,knife
P01,lift(lemon),lift,lemon
P01,lift(lid),lift,lid
P01,lift(maker:coffee),lift,maker:coffee
P01,lift(milk),lift,milk
P01,lift(mixture),lift,mixture
P01,lift(onion),lift,onion
P01,lift(orange),lift,orange
P01,lift(package),lift,package
P01,lift(pan),lift,pan
P01,lift(plate),lift,plate
P01,lift(pot),lift,pot
P01,lift(rice),lift,rice
P01,lift(shelf),lift,shelf
P01,lift(towel),lift,towel
P01,lift(tray),lift,tray
P01,lift(water),lift,water
P01,lock(bowl),lock,bowl
P01,lock(box),lock,box
P01,lock(coffee),lock,coffee
P01,lock(maker:coffee),lock,maker:coffee
P01,lock(tap),lock,tap
P01,look(alarm),look,alarm
P01,look(biscuit),look,biscuit
P01,look(can),look,can
P01,look(cupboard),look,cupboard
P01,look(oven),look,oven
P01,look(scale),look,scale
P01,look(shelf),look,shelf
P01,look(top),look,top
P01,lower(heat),lower,heat
P01,measure(cup),measure,cup
P01,measure(glass),measure,glass
P01,measure(heat),measure,heat
P01,measure(scale),measure,scale
P01,mix(alarm),mix,alarm
P01,mix(blender),mix,blender
P01,mix(bowl),mix,bowl
P01,mix(broccoli),mix,broccoli
P01,mix(butter),mix,butter
P01,mix(cheese),mix,cheese
P01,mix(chicken),mix,chicken
P01,mix(coffee),mix,coffee
P01,mix(container),mix,container
P01,mix(cover),mix,cover
P01,mix(cup),mix,cup
P01,mix(dough),mix,dough
P01,mix(food),mix,food
P01,mix(garlic),mix,garlic
P01,mix(meat),mix,meat
P01,mix(mixture),mix,mixture
P01,mix(oil),mix,oil
P01,mix(onion),mix,onion
P01,mix(pan),mix,pan
P01,mix(pasta),mix,pasta
P01,mix(peeler:potato),mix,peeler:potato
P01,mix(pot),mix,pot
P01,mix(powder),mix,powder
P01,mix(rack:drying),mix,rack:drying
P01,mix(recipe),mix,recipe
P01,mix(rice),mix,rice
P01,mix(roll),mix,roll
P01,mix(salt),mix,salt
P01,mix(sauce),mix,sauce
P01,mix(soup),mix,soup
P01,mix(water),mix,water
P01,mix(yeast),mix,yeast
P01,move(alarm),move,alarm
P01,move(bag),move,bag
P01,move(bin),move,bin
P01,move(blender),move,blender
P01,move(board:chopping),move,board:chopping
P01,move(bottle),move,bottle
P01,move(bowl),move,bowl
P01,move(box),move,box
P01,move(butter),move,butter
P01,move(can),move,can
P01,move(carrot),move,carrot
P01,move(cheese),move,cheese
P01,move(chicken),move,chicken
P01,move(cloth),move,cloth
P01,move(colander),move,colander
P01,move(container),move,container
P01,move(coriander),move,coriander
P01,move(cup),move,cup
P01,move(dough),move,dough
P01,move(drawer),move,drawer
P01,move(filter),move,filter
P01,move(food),move,food
P01,move(fork),move,fork
P01,move(garlic),move,garlic
P01,move(glass),move,glass
P01,move(glove),move,glove
P01,move(hand),move,hand
P01,move(heat),move,heat
P01,move(hob),move,hob
P01,move(jar),move,jar
P01,move(jug),move,jug
P01,move(juice),move,juice
P01,move(kettle),move,kettle
P01,move(knife),move,knife
P01,move(ladder),move,ladder
P01,move(ladle),move,ladle
P01,move(leaf),move,leaf
P01,move(lemon),move,lemon
P01,move(lid),move,lid
P01,move(maker:coffee),move,maker:coffee
P01,move(milk),move,milk
P01,move(mixture),move,mixture
P01,move(onion),move,onion
P01,move(package),move,package
P01,move(pan),move,pan
P01,move(paper),move,paper
P01,move(pasta),move,pasta
P01,move(peeler:potato),move,peeler:potato
P01,move(pith),move,pith
P01,move(plate),move,plate
P01,move(pot),move,pot
P01,move(rice),move,rice
P01,move(roll),move,roll
P01,move(salami),move,salami
P01,move(scale),move,scale
P01,move(skin),move,skin
P01,move(slicer),move,slicer
P01,move(spatula),move,spatula
P01,move(sponge),move,sponge
P01,move(spoon),move,spoon
P01,move(stock),move,stock
P01,move(tap),move,tap
P01,move(top),move,top
P01,move(towel),move,towel
P01,move(tray),move,tray
P01,move(wall),move,wall
P01,move(water),move,water
P01,move(yoghurt),move,yoghurt
P01,open(bag),open,bag
P01,open(bin),open,bin
P01,open(bottle),open,bottle
P01,open(bowl),open,bowl
P01,open(box),open,box
P01,open(can),open,can
P01,open(cap),open,cap
P01,open(chicken),open,chicken
P01,open(clip),open,clip
P01,open(container),open,container
P01,open(cover),open,cover
P01,open(cupboard),open,cupboard
P01,open(dishwasher),open,dishwasher
P01,open(drawer),open,drawer
P01,open(food),open,food
P01,open(fridge),open,fridge
P01,open(garlic),open,garlic
P01,open(hand),open,hand
P01,open(handle),open,handle
P01,open(heat),open,heat
P01,open(jar),open,jar
P01,open(kettle),open,kettle
P01,open(ladder),open,ladder
P01,open(lid),open,lid
P01,open(microwave),open,microwave
P01,open(oven),open,oven
P01,open(package),open,package
P01,open(scissors),open,scissors
P01,open(stock),open,stock
P01,open(tap),open,tap
P01,open(water),open,water
P01,open(wire),open,wire
P01,pat(blender),pat,blender
P01,pat(board:chopping),pat,board:chopping
P01,pat(bowl),pat,bowl
P01,pat(box),pat,box
P01,pat(colander),pat,colander
P01,pat(dishwasher),pat,dishwasher
P01,pat(fork),pat,fork
P01,pat(glass),pat,glass
P01,pat(hand),pat,hand
P01,pat(jug),pat,jug
P01,pat(knife),pat,knife
P01,pat(ladle),pat,ladle
P01,pat(lemon),pat,lemon
P01,pat(lid),pat,lid
P01,pat(milk),pat,milk
P01,pat(package),pat,package
P01,pat(peeler:potato),pat,peeler:potato
P01,pat(spatula),pat,spatula
P01,pat(spoon),pat,spoon
P01,pat(top),pat,top
P01,peel(carrot),peel,carrot
P01,peel(garlic),peel,garlic
P01,peel(onion),peel,onion
P01,peel(package),peel,package
P01,peel(skin),peel,skin
P01,pour(alarm),pour,alarm
P01,pour(biscuit),pour,biscuit
P01,pour(bowl),pour,bowl
P01,pour(broccoli),pour,broccoli
P01,pour(cheese),pour,cheese
P01,pour(chicken),pour,chicken
P01,pour(chocolate),pour,chocolate
P01,pour(cinnamon),pour,cinnamon
P01,pour(container),pour,container
P01,pour(cup),pour,cup
P01,pour(flour),pour,flour
P01,pour(food),pour,food
P01,pour(hob),pour,hob
P01,pour(juice),pour,juice
P01,pour(liquid),pour,liquid
P01,pour(milk),pour,milk
P01,pour(mixture),pour,mixture
P01,pour(oil),pour,oil
P01,pour(package),pour,package
P01,pour(pan),pour,pan
P01,pour(pasta),pour,pasta
P01,pour(pepper),pour,pepper
P01,pour(pith),pour,pith
P01,pour(powder),pour,powder
P01,pour(rice),pour,rice
P01,pour(rubbish),pour,rubbish
P01,pour(salt),pour,salt
P01,pour(sauce),pour,sauce
P01,pour(scale),pour,scale
P01,pour(soup),pour,soup
P01,pour(spice),pour,spice
P01,pour(spoon),pour,spoon
P01,pour(stock),pour,stock
P01,pour(sugar),pour,sugar
P01,pour(tea),pour,tea
P01,pour(water),pour,water
P01,pour(yeast),pour,yeast
P01,pour(yoghurt),pour,yoghurt
P01,press(alarm),press,alarm
P01,press(bag),press,bag
P01,press(biscuit),press,biscuit
P01,press(blender),press,blender
P01,press(bottle),press,bottle
P01,press(box),press,box
P01,press(breadcrumb),press,breadcrumb
P01,press(butter),press,butter
P01,press(button),press,button
P01,press(carrot),press,carrot
P01,press(chicken),press,chicken
P01,press(clip),press,clip
P01,press(cover),press,cover
P01,press(cupboard),press,cupboard
P01,press(cutter:pizza),press,cutter:pizza
P01,press(dough),press,dough
P01,press(drawer),press,drawer
P01,press(finger:lady),press,finger:lady
P01,press(food),press,food
P01,press(garlic),press,garlic
P01,press(hand),press,hand
P01,press(jar),press,jar
P01,press(juicer),press,juicer
P01,press(knob),press,knob
P01,press(meat),press,meat
P01,press(mixture),press,mixture
P01,press(orange),press,orange
P01,press(oven),press,oven
P01,press(package),press,package
P01,press(pie),press,pie
P01,press(plate),press,plate
P01,press(plug),press,plug
P01,press(pot),press,pot
P01,press(presser),press,presser
P01,press(roll),press,roll
P01,press(scale),press,scale
P01,press(skin),press,skin
P01,press(top),press,top
P01,press(wire),press,wire
P01,press(yeast),press,yeast
P01,pull(bag),pull,bag
P01,pull(bowl),pull,bowl
P01,pull(carrot),pull,carrot
P01,pull(chocolate),pull,chocolate
P01,pull(cover),pull,cover
P01,pull(dough),pull,dough
P01,pull(drawer),pull,drawer
P01,pull(food),pull,food
P01,pull(hand),pull,hand
P01,pull(handle),pull,handle
P01,pull(package),pull,package
P01,pull(top),pull,top
P01,pull(tray),pull,tray
P01,pull(wrap:plastic),pull,wrap:plastic
P01,put(alarm),put,alarm
P01,put(bag),put,bag
P01,put(bin),put,bin
P01,put(biscuit),put,biscuit
P01,put(blender),put,blender
P01,put(board:chopping),put,board:chopping
P01,put(bottle),put,bottle
P01,put(bowl),put,bowl
P01,put(box),put,box
P01,put(butter),put,butter
P01,put(can),put,can
P01,put(cap),put,cap
P01,put(carrot),put,carrot
P01,put(cd),put,cd
P01,put(cereal),put,cereal
P01,put(cheese),put,cheese
P01,put(chicken),put,chicken
P01,put(chocolate),put,chocolate
P01,put(chopstick),put,chopstick
P01,put(clip),put,clip
P01,put(cloth),put,cloth
P01,put(clothes),put,clothes
P01,put(cocktail),put,cocktail
P01,put(coffee),put,coffee
P01,put(colander),put,colander
P01,put(container),put,container
P01,put(coriander),put,coriander
P01,put(corn),put,corn
P01,put(cover),put,cover
P01,put(cream),put,cream
P01,put(cup),put,cup
P01,put(cupboard),put,cupboard
P01,put(dough),put,dough
P01,put(drawer),put,drawer
P01,put(egg),put,egg
P01,put(foil),put,foil
P01,put(food),put,food
P01,put(fork),put,fork
P01,put(garlic),put,garlic
P01,put(glass),put,glass
P01,put(glove),put,glove
P01,put(grater),put,grater
P01,put(hand),put,hand
P01,put(heat),put,heat
P01,put(jar),put,jar
P01,put(jug),put,jug
P01,put(juicer),put,juicer
P01,put(kettle),put,kettle
P01,put(kitchen),put,kitchen
P01,put(knife),put,knife
P01,put(label),put,label
P01,put(ladder),put,ladder
P01,put(ladle),put,ladle
P01,put(lemon),put,lemon
P01,put(lid),put,lid
P01,put(liquid),put,liquid
P01,put(machine:washing),put,machine:washing
P01,put(maker:coffee),put,maker:coffee
P01,put(meat),put,meat
P01,put(milk),put,milk
P01,put(mixture),put,mixture
P01,put(oil),put,oil
P01,put(onion),put,onion
P01,put(orange),put,orange
P01,put(oven),put,oven
P01,put(package),put,package
P01,put(pan),put,pan
P01,put(paper),put,paper
P01,put(peeler:potato),put,peeler:potato
P01,put(pen),put,pen
P01,put(pepper),put,pepper
P01,put(pie),put,pie
P01,put(pith),put,pith
P01,put(plate),put,plate
P01,put(plug),put,plug
P01,put(pot),put,pot
P01,put(processor:food),put,processor:food
P01,put(rack:drying),put,rack:drying
P01,put(rest),put,rest
P01,put(rice),put,rice
P01,put(roll),put,roll
P01,put(rosemary),put,rosemary
P01,put(rubber),put,rubber
P01,put(rubbish),put,rubbish
P01,put(scale),put,scale
P01,put(scissors),put,scissors
P01,put(shell:egg),put,shell:egg
P01,put(skin),put,skin
P01,put(slicer),put,slicer
P01,put(spatula),put,spatula
P01,put(sponge),put,sponge
P01,put(spoon),put,spoon
P01,put(stock),put,stock
P01,put(tablet),put,tablet
P01,put(tap),put,tap
P01,put(top),put,top
P01,put(towel),put,towel
P01,put(tray),put,tray
P01,put(vegetable),put,vegetable
P01,put(water),put,water
P01,put(yoghurt),put,yoghurt
P01,reach(bag),reach,bag
P01,reach(carrot),reach,carrot
P01,reach(hob),reach,hob
P01,remove(alarm),remove,alarm
P01,remove(bag),remove,bag
P01,remove(biscuit),remove,biscuit
P01,remove(blender),remove,blender
P01,remove(bowl),remove,bowl
P01,remove(box),remove,box
P01,remove(cake),remove,cake
P01,remove(cheese),remove,cheese
P01,remove(clip),remove,clip
P01,remove(cover),remove,cover
P01,remove(cream),remove,cream
P01,remove(cutter:pizza),remove,cutter:pizza
P01,remove(dough),remove,dough
P01,remove(food),remove,food
P01,remove(glove),remove,glove
P01,remove(hand),remove,hand
P01,remove(heat),remove,heat
P01,remove(jar),remove,jar
P01,remove(juicer),remove,juicer
P01,remove(knife),remove,knife
P01,remove(lemon),remove,lemon
P01,remove(lid),remove,lid
P01,remove(machine:washing),remove,machine:washing
P01,remove(mixture),remove,mixture
P01,remove(onion),remove,onion
P01,remove(orange),remove,orange
P01,remove(oven),remove,oven
P01,remove(package),remove,package
P01,remove(pan),remove,pan
P01,remove(plate),remove,plate
P01,remove(plug),remove,plug
P01,remove(pot),remove,pot
P01,remove(presser),remove,presser
P01,remove(rest),remove,rest
P01,remove(roll),remove,roll
P01,remove(rubbish),remove,rubbish
P01,remove(scissors),remove,scissors
P01,remove(seed),remove,seed
P01,remove(skin),remove,skin
P01,remove(spoon),remove,spoon
P01,remove(stock),remove,stock
P01,remove(tap),remove,tap
P01,remove(top),remove,top
P01,remove(towel),remove,towel
P01,remove(wire),remove,wire
P01,rip(bag),rip,bag
P01,rip(cover),rip,cover
P01,rip(foil),rip,foil
P01,rip(meat),rip,meat
P01,rip(package),rip,package
P01,rip(paper),rip,paper
P01,rip(rest),rip,rest
P01,rip(roll),rip,roll
P01,rip(rubbish),rip,rubbish
P01,rip(towel),rip,towel
P01,roll(board:chopping),roll,board:chopping
P01,roll(cocktail),roll,cocktail
P01,roll(dough),roll,dough
P01,roll(foil),roll,foil
P01,roll(mixture),roll,mixture
P01,roll(orange),roll,orange
P01,rub(bowl),rub,bowl
P01,rub(face),rub,face
P01,rub(finger:lady),rub,finger:lady
P01,rub(knife),rub,knife
P01,scoop(food),scoop,food
P01,scoop(rice),scoop,rice
P01,scoop(sauce),scoop,sauce
P01,scoop(soup),scoop,soup
P01,scoop(spoon),scoop,spoon
P01,scoop(sugar),scoop,sugar
P01,scoop(tv),scoop,tv
P01,scrape(dough),scrape,dough
P01,scrape(garlic),scrape,garlic
P01,scrape(knife),scrape,knife
P01,scrape(pan),scrape,pan
P01,scrape(soup),scrape,soup
P01,screw(hand),screw,hand
P01,scrub(bowl),scrub,bowl
P01,scrub(cup),scrub,cup
P01,scrub(hand),scrub,hand
P01,scrub(knife),scrub,knife
P01,scrub(sponge),scrub,sponge
P01,scrub(top),scrub,top
P01,scrub(tray),scrub,tray
P01,search(can),search,can
P01,search(dishwasher),search,dishwasher
P01,search(food),search,food
P01,search(knife),search,knife
P01,search(lid),search,lid
P01,search(orange),search,orange
P01,search(skin),search,skin
P01,search(stand),search,stand
P01,search(top),search,top
P01,set(alarm),set,alarm
P01,shake(bag),shake,bag
P01,shake(board:chopping),shake,board:chopping
P01,shake(bottle),shake,bottle
P01,shake(bowl),shake,bowl
P01,shake(box),shake,box
P01,shake(cd),shake,cd
P01,shake(chicken),shake,chicken
P01,shake(colander),shake,colander
P01,shake(fork),shake,fork
P01,shake(glass),shake,glass
P01,shake(hand),shake,hand
P01,shake(heat),shake,heat
P01,shake(jar),shake,jar
P01,shake(knife),shake,knife
P01,shake(lemon),shake,lemon
P01,shake(lid),shake,lid
P01,shake(package),shake,package
P01,shake(pan),shake,pan
P01,shake(peeler:potato),shake,peeler:potato
P01,shake(plate),shake,plate
P01,shake(skin),shake,skin
P01,shake(spatula),shake,spatula
P01,shake(spoon),shake,spoon
P01,shake(tray),shake,tray
P01,slide(bag),slide,bag
P01,slide(biscuit),slide,biscuit
P01,slide(board:chopping),slide,board:chopping
P01,slide(bottle),slide,bottle
P01,slide(box),slide,box
P01,slide(butter),slide,butter
P01,slide(carrot),slide,carrot
P01,slide(cd),slide,cd
P01,slide(cheese),slide,cheese
P01,slide(coffee),slide,coffee
P01,slide(container),slide,container
P01,slide(coriander),slide,coriander
P01,slide(cover),slide,cover
P01,slide(cupboard),slide,cupboard
P01,slide(dough),slide,dough
P01,slide(drawer),slide,drawer
P01,slide(food),slide,food
P01,slide(garlic),slide,garlic
P01,slide(hand),slide,hand
P01,slide(jug),slide,jug
P01,slide(kettle),slide,kettle
P01,slide(knife),slide,knife
P01,slide(meat),slide,meat
P01,slide(milk),slide,milk
P01,slide(mixture),slide,mixture
P01,slide(onion),slide,onion
P01,slide(package),slide,package
P01,slide(pie),slide,pie
P01,slide(plate),slide,plate
P01,slide(rest),slide,rest
P01,slide(rosemary),slide,rosemary
P01,slide(sauce),slide,sauce
P01,slide(scissors),slide,scissors
P01,slide(skin),slide,skin
P01,slide(slicer),slide,slicer
P01,slide(spatula),slide,spatula
P01,slide(spoon),slide,spoon
P01,slide(stock),slide,stock
P01,slide(tray),slide,tray
P01,smell(air),smell,air
P01,soak(bowl),soak,bowl
P01,soak(pan),soak,pan
P01,soak(spoon),soak,spoon
P01,sort(board:chopping),sort,board:chopping
P01,sort(bowl),sort,bowl
P01,sort(meat),sort,meat
P01,sort(pizza),sort,pizza
P01,sort(plate),sort,plate
P01,sort(pot),sort,pot
P01,spray(water),spray,water
P01,sprinkle(foil),sprinkle,foil
P01,sprinkle(package),sprinkle,package
P01,sprinkle(spice),sprinkle,spice
P01,sprinkle(tv),sprinkle,tv
P01,sprinkle(vinegar),sprinkle,vinegar
P01,sprinkle(wrap:plastic),sprinkle,wrap:plastic
P01,squeeze(bag),squeeze,bag
P01,squeeze(bottle),squeeze,bottle
P01,squeeze(cloth),squeeze,cloth
P01,squeeze(food),squeeze,food
P01,squeeze(garlic),squeeze,garlic
P01,squeeze(knife),squeeze,knife
P01,squeeze(lemon),squeeze,lemon
P01,squeeze(meat),squeeze,meat
P01,squeeze(onion),squeeze,onion
P01,squeeze(package),squeeze,package
P01,squeeze(pie),squeeze,pie
